pid,title,category,cohort_year,tagline,abstract,pis,link,img
pr10,COVID Collections,DH Seed Grant Recipient,2021,,"As COVID-19 began to dominate the global agenda during the spring of 2020, museums, libraries, and archives around the world announced efforts to document human experiences of illness, isolation, economic downturn, fear, adaptation, and solidarity. These efforts ranged widely in scale and methods, from local historical societies seeking personal reflections to large scale federally-funded oral history projects. What will become of these various collecting efforts, and how will scholars be able to locate them effectively? The COVID Collections Project aims to catalogue the many COVID-19 oral history, documentation, and archiving projects that have begun since winter 2020. As a multi-year project, we have started to survey repositories and oral historians to discover and catalogue the collections that are being built around the global experience of COVID-19. We will then develop a website that will help researchers find these collections. We also hope to foster collaborations among archivists, documentarists, and historians as the collections are being developed. The COVID Collections Project is a collaboration among the Initiative for Critical Disaster Studies (NYU Gallatin), the Archives and Public History Program (NYU GSAS), and the E.L. Quarantelli Resource Collection at the University of Delaware’s Disaster Research Center. ",noonan,https://wp.nyu.edu/disasters/covid-collections-project/,
pr11,"Creating a digital Museum of the History of Dentistry at the College of Dentistry, NYU.",DH Seed Grant Recipient,2021,,"Imagine a digital museum where artifacts appear in virtual reality in three dimensions and can be manipulated for full inspection. The College of Dentistry is creating such a museum by 3D scanning and digitizing its artifacts using the services of the LaGuardia Studio for high resolution scanning and a novel 3D display software called Sketchfab, to manipulate objects in space. The current effort is one of the very few in the World to utilize such technology for museum artifacts.",spielman,,
pr12,"Dirty Money and Disorderly Homes: Civil Forfeiture, Vice Police, and Illicit Capital in Philadelphia",Grad Fellowship Project,2021,,,smith,,
pr13,Black Burials in Philadelphia: A Walking Tour,Grad Fellowship Project,2021,,,marshall,https://bit.ly/blackburialstour,
pr14,Reading Comments Reading Instagram Comics,Grad Fellowship Project,2021,,,ozkiral,,
pr15,A-Files,Grad Fellowship Project,2021,,,zehngut-willits,,
pr16,"Consuming India, Becoming Global: Contemporary Popular Culture and Branding between Mumbai, Dubai, and Cairo",Grad Fellowship Project,2021,,,petiwala,,
pr17,Knitting Patterns for S.T.E.A.M. Education,Grad Fellowship Project,2021,,,busser,,
pr18,Ancestors and Family Traditions in the Hellenistic and Imperial Polis,Grad Fellowship Project,2021,,,tsolakis,,
pr19,Organizing Resource Library,Grad Fellowship Project,2021,,,joslyn,,
pr20,Framing a Model: Literary Model Quality and the Autiobiography of Mark Twain,Grad Fellowship Project,2021,,,armoza,,
